maPhong,loaiPhong,giaGoc,trangThai
P101,STANDARD,500000,TRONG
P102,STANDARD,500000,TRONG
P103,STANDARD,500000,DA_DAT
P104,STANDARD,550000,TRONG
P105,STANDARD,550000,TRONG
P106,STANDARD,550000,DA_DAT
P107,STANDARD,600000,TRONG
P108,STANDARD,600000,TRONG
P109,VIP,1500000,TRONG
P110,VIP,1500000,DA_DAT
P201,STANDARD,600000,TRONG
P202,STANDARD,600000,TRONG
P203,STANDARD,650000,DA_DAT
P204,STANDARD,650000,TRONG
P205,STANDARD,650000,TRONG
P206,STANDARD,700000,TRONG
P207,STANDARD,700000,DA_DAT
P208,VIP,1600000,TRONG
P209,VIP,1600000,TRONG
P210,VIP,1800000,DA_DAT
P301,STANDARD,700000,TRONG
P302,STANDARD,750000,TRONG
P303,STANDARD,750000,DA_DAT
P304,STANDARD,800000,TRONG
P305,STANDARD,800000,TRONG
P306,VIP,1800000,TRONG
P307,VIP,1800000,DA_DAT
P308,VIP,2000000,TRONG
P309,VIP,2000000,TRONG
P310,VIP,2200000,DA_DAT
P401,VIP,2200000,TRONG
P402,VIP,2200000,TRONG
P403,VIP,2500000,DA_DAT
P404,VIP,2500000,TRONG
P405,VIP,2500000,TRONG
P406,VIP,2800000,TRONG
P407,VIP,2800000,DA_DAT
P408,VIP,3000000,TRONG
P409,PENTHOUSE,5000000,TRONG
P410,PENTHOUSE,5500000,DA_DAT
P501,VIP,3000000,TRONG
P502,VIP,3200000,TRONG
P503,VIP,3500000,DA_DAT
P504,PENTHOUSE,6000000,TRONG
P505,PENTHOUSE,6500000,TRONG
P506,PENTHOUSE,7000000,TRONG
P507,PENTHOUSE,7500000,DA_DAT
P508,PENTHOUSE,8000000,TRONG
P509,PENTHOUSE,9000000,TRONG
P510,PENTHOUSE,10000000,DA_DAT
